step,time,kinetic_energy
0,0.0,0.00028426737222169557
1,0.005,0.0002841508224662828
2,0.01,0.0002840342609659621
3,0.015,0.0002839176878279113
4,0.02,0.0002838011031618031
5,0.025,0.00028368450707978444
6,0.03,0.000283567899696455
7,0.035,0.00028345128112884627
8,0.04,0.0002833346514964003
9,0.045,0.0002832180109209483
10,0.05,0.00028310135952668974
11,0.055,0.0002829846974401711
12,0.06,0.00028286802479026465
13,0.065,0.0002827513417081472
14,0.07,0.0002826346483272789
15,0.075,0.00028251794478338226
16,0.08,0.00028240123121442065
17,0.085,0.0002822845077605775
18,0.09,0.00028216777456423485
19,0.095,0.0002820510317699522
20,0.1,0.00028193427952444554
21,0.105,0.00028181751797656606
22,0.11,0.00028170074727727914
23,0.115,0.0002815839675796432
24,0.12,0.00028146717903878844
25,0.125,0.000281350381811896
26,0.13,0.0002812335760581768
27,0.135,0.0002811167619388505
28,0.14,0.00028099993961712443
29,0.145,0.00028088310925817266
30,0.15,0.0002807662710291151
31,0.155,0.00028064942509899637
32,0.16,0.00028053257163876486
33,0.165,0.000280415710821252
34,0.17,0.0002802988428211514
35,0.17500000000000002,0.00028018196781499785
36,0.18,0.0002800650859811464
37,0.185,0.00027994819749975204
38,0.19,0.0002798313025527485
39,0.195,0.00027971440132382766
40,0.2,0.000279597493998419
